Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Instalment agreement terminology;Seed;MC;An interest rate that stays the same every month is a ___________;Fixed interest rate;Flat interest rate;Linked interest rate;Prime interest rate;A fixed interest rate stays the same each month and isn't affected by the prime lending rate. ;4
Instalment agreement terminology;Retention;MC;A {{fixed interest rate}} _____________;Stays the same every month;Changes with the prime interest rate;Is fixed by the Reserve Bank;Changes by a fixed amount each year;A fixed interest rate stays the same each month and isn't affected by the prime lending rate. ;11
Instalment agreement terminology;Retention;T/F;A {{linked interest rate}} stays the same every month.;FALSE;TRUE;;;A fixed interest rate stays the same each month. A linked interest rate changes with the prime lending rate. ;12
Instalment agreement terminology;Retention;T/F;A {{variable interest rate}} stays the same every month.;FALSE;TRUE;;;A fixed interest rate stays the same each month. A variable interest rate changes with the prime lending rate. ;12
Instalment agreement terminology;Application;MC;If your credit agreement has a {{fixed interest rate}}, your monthly payments ____________;Stay the same each month;Change when the prime lending rate changes;Change every month;Are due on the same day each month;A fixed interest rate stays the same each month so your instalments also stay the same.;17
Instalment agreement terminology;Seed;MC;An interest rate that changes with the prime rate is a ____________;Linked / variable interest rate;Fixed interest rate;Exchange rate;Repo rate;A linked / variable interest rate will go up or down when the prime lending rate goes up or down. ;4
Instalment agreement terminology;Retention;MC;A {{linked interest rate}} ___________;Is linked to the prime lending rate;Can be changed when you need to;Stays the same each month;Is linked to the exchange rate;A linked / variable interest rate will go up or down when the prime lending rate goes up or down. ;11
Instalment agreement terminology;Retention;MC;A {{variable interest rate}} ___________;Changes with the prime lending rate;Can be changed by the credit provider;Stays the same each month;Is affected by the exchange rate;A linked / variable interest rate will go up or down when the prime lending rate goes up or down. ;11
Instalment agreement terminology;Retention;T/F;A {{fixed interest rate}} is connected to the prime lending rate.;FALSE;TRUE;;;A linked / variable interest rate changes with the prime lending rate. A fixed interest rate stays the same each month. ;12
Instalment agreement terminology;Application;MC;If you have a {{linked interest rate}}, your monthly payments ____________ ;Change with the prime lending rate changes;Stay the same each month;Change every month;Increase with inflation every year;A linked / variable interest rate goes up or down with the prime interest rate, so your payments will go up or down when the prime rate changes. ;17
Instalment agreement terminology;Application;MC;If you have a {{variable interest rate}}, your monthly payments ____________ ;Change with the prime lending rate changes;Stay the same each month;Change every second month;Change with the exchange rate;A linked / variable interest rate goes up or down with the prime interest rate, so your payments will go up or down when the prime rate changes. ;17
Instalment agreement terminology;Seed;MC;What is a {{repayment term}}? ;The time you have to pay back your debt;The amount you need to pay each month;The total amount you owe;The time it takes to get credit approved;The repayment term is the length of time you have to pay back the loan. The length of the repayment term affects your instalment amount and how much interest you pay. ;3
Instalment agreement terminology;Retention;MC;Your {{repayment term}} is ____________;How long it takes to pay off your loan;The waiting period for finance;The grace period for unpaid accounts;The amount that needs to be paid;The repayment term is the length of time you have to pay back the loan. The length of the repayment term affects your instalment amount and how much interest you pay. ;10
Instalment agreement terminology;Application;MC;The length of time you have to pay off the item you bought on credit is the ____________;Repayment term;Interest rate;Amount owing;Fixed loan;The length of time you have to pay for the item you bought on credit is the repayment term.;16
Instalment agreement terminology;Seed;T/F;A longer {{repayment term}} means LOWER monthly payments but you pay MORE in total.;TRUE;FALSE;;;Paying off a loan or credit agreement over a longer period reduces your monthly instalments BUT you end up paying more in total.;4
Instalment agreement terminology;Retention;MC;A longer {{repayment term}} means LOWER monthly instalments but _________;You pay more in total;You pay less in total;You pay a different amount each month;Your payments vary with your interest rate;Paying off a loan or credit agreement over a longer period reduces your monthly instalments BUT you end up paying more in total.;11
Instalment agreement terminology;Retention;T/F;A longer {{repayment term}} means HIGHER monthly payments but you pay LESS in total;FALSE;TRUE;;;Paying off a loan or credit agreement over a longer period reduces your monthly instalments BUT you end up paying more in total.;11
Instalment agreement terminology;Application;T/F;It makes no difference whether you choose a longer or shorter {{repayment term}}.;FALSE;TRUE;;;A longer repayment term reduces your monthly instalments BUT you end up paying more in total.;17
Instalment agreement terminology;Seed;T/F;A shorter {{repayment term}} means HIGHER monthly payments but you pay LESS in total.;TRUE;FALSE;;;Paying off a loan or credit agreement over a shorter period increases your monthly instalments BUT you end up paying less in total.;4
Instalment agreement terminology;Retention;MC;A shorter {{repayment term}} means HIGHER monthly instalments but _________;You pay less in total;You pay more in total;You need a balloon payment;You need a deposit;Paying off a loan or credit agreement over a shorter period increases your monthly instalments BUT you end up paying less in total.;11
Instalment agreement terminology;Application;T/F;A shorter {{repayment term}} means LOWER monthly payments but you pay MORE in total;FALSE;TRUE;;;Paying off a loan or credit agreement over a shorter period increases your monthly instalments BUT you end up paying less in total.;17
Instalment agreement terminology;Seed;MC;What is a {{deposit}}?;An amount that you pay up front;A balloon payment;A payment holiday;A fee for buying on credit;A deposit is an amount you pay in cash before the credit agreement starts. It is removed from the amount you need to finance so you have less to pay off.;3
Instalment agreement terminology;Retention;MC;When you pay an amount of cash before the credit agreement starts, it's called a ___________;Deposit;Balloon payment;IOU;Payment holiday;A deposit is an amount you pay in cash before the credit agreement starts. It is removed from the amount you need to finance so you have less to pay off.;11
Instalment agreement terminology;Application;T/F;A {{deposit}} is an amount you pay in cash at the end of the credit agreement.;FALSE;TRUE;;;A deposit is an amount you pay in cash BEFORE the credit agreement, not at the end. It is removed from the amount you need to finance so you have less to pay off.;16
Instalment agreement terminology;Seed;T/F;Having a {{deposit}} means lower monthly instalments.;TRUE;FALSE;;;If you can put down a deposit there's less to pay off so your monthly instalments would be lower.;4
Instalment agreement terminology;Retention;MC;Having a {{deposit}} means ____________;Lower monthly instalments;Lower maintenance costs;Less income tax;Lower operating costs;If you can put down a deposit there's less to pay off so your monthly instalments would be lower.;12
Instalment agreement terminology;Application;T/F;A {{deposit}} won't make any difference to your monthly instalments.;FALSE;TRUE;;;If you can put down a deposit there's less to pay off so your monthly instalments would be lower.;17
Instalment agreement terminology;Seed;MC;{{Credit life insurance}} covers your credit payments if ___________;You die, become disabled, get retrenched etc.;You have a burglary;You can't afford to pay anymore;You change your mind;Credit life insurance covers your credit payments in the event of your death, permanent or temporary disability or retrenchment, subject to the policy terms and conditions.;5
Instalment agreement terminology;Retention;T/F;{{Credit life insurance}} covers your credit payments if you become disabled.;TRUE;FALSE;;;Credit life insurance covers your credit payments in the event of permanent or temporary disability, as well as death or retrenchment, subject to the policy terms and conditions.;12
Instalment agreement terminology;Application;T/F;If you die, your credit payments won’t be covered by your {{credit life insurance}}.;FALSE;TRUE;;;Credit life insurance covers your credit payments in the event of your death, permanent or temporary disability or retrenchment, subject to the policy terms and conditions.;18
settling credit agreements;Seed;MC-F;Is {{credit life insurance}} compulsory?;No, but the credit provider may require it;No, it's entirely up to you;Yes, it's a legal requirement;Only if you're under 25;Credit life insurance is not a legal requirement but the credit provider may require you to have it in order to get credit. They can't force you to use a particular insurance provider.;6
settling credit agreements;Retention;T/F;You always have the choice of whether you want to take {{credit life insurance}}.;FALSE;TRUE;;;The credit provider may require you to take credit life insurance in order to get credit - but remember that they can't force you to use their insurance.;13
settling credit agreements;Application;T/F;A credit provider can require you to take {{credit life insurance}} from a specific insurer.;FALSE;TRUE;;;The credit provider may require you to take credit life insurance in order to get credit - but remember that they can't force you to use a particular insurance provider.;19
settling credit agreements;Application;Y/N;Can a credit provider force you to take their {{credit life insurance}}?;No;Yes;;;The credit provider may require you to take credit life insurance in order to get credit - but remember that they can't force you to use their insurance.;19
settling credit agreements;Seed;T/F;On a credit agreement, your outstanding {{balance}} is the amount that you owe.;TRUE;FALSE;;;On a credit agreement, your balance is the outstanding amount that you owe.;3
settling credit agreements;Retention;MC;The total amount you owe on your credit agreement is the _________;Outstanding balance;Arrears;Interest;Price;On a credit agreement, your balance is the outstanding amount that you owe.;10
settling credit agreements;Application;MC;Your credit agreement outstanding {{balance}} is ____________;The amount that you owe;The amount you've paid so far;The amount of interest due;The amount of payments that are overdue;On a credit agreement, your balance is the outstanding amount that you owe.;17
settling credit agreements;Seed;T/F;The {{principal debt}} is the amount that you borrowed to buy an item on credit.;TRUE;FALSE;;;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;6
settling credit agreements;Retention;MC;What is {{principal debt}}?;The amount you borrowed;The total you owe including interest;The amount of interest due;The amount of money that is overdue;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;13
settling credit agreements;Retention;MC;The {{principal debt}} is ____________;The amount you borrowed;The total you pay back, including interest;The total amount of interest;The payments that are overdue;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;13
settling credit agreements;Retention;MC;The __________ is the amount you borrow to buy an item on credit.;Principal debt;Principal sum;Principal credit;Principal balance;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;13
settling credit agreements;Retention;MC;The amount you borrow to buy an item on credit is called the ___________;Principal debt;Contract balance;Total due;Settlement quote;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;13
settling credit agreements;Application;T/F;The {{principal debt}} includes interest and fees.;FALSE;TRUE;;;The principal debt is the amount you borrowed to buy the item on credit. It doesn't include any interest, fees or other costs. ;19
settling credit agreements;Seed;T/F;The {{contract balance}} is the total amount that you still need to pay.;TRUE;FALSE;;;The contract balance is the total you still owe on your credit agreement. It is the principal debt (what you borrowed) plus the interest, fees etc.;7
settling credit agreements;Retention;T/F;The {{contract balance}} is the amount you owe of the principal debt.;FALSE;TRUE;;;The CAPITAL balance is the amount you owe of the principal debt (what you borrowed) and it excludes interest etc. The CONTRACT balance is the total you still owe.;14
settling credit agreements;Retention;MC;What is the {{contract balance}}? ;The total amount you owe;The amount you owe of the principal debt;The total interest you need to pay;How long you have to pay off your debt;The contract balance is the total you still owe on your credit agreement. It is the principal debt (what you borrowed) plus the interest, fees etc.;14
settling credit agreements;Application;T/F;If your {{contract balance}} is R70,000 this is the total amount you still owe.;TRUE;FALSE;;;The contract balance is the total you still owe on your credit agreement. It is the principal debt (what you borrowed) plus the interest, fees etc.;20
settling credit agreements;Seed;MC;What does it mean to be in {{arrears}} on a credit agreement?;You've missed one or more payments;You got a traffic fine;There's a mistake on your credit agreement;You don't have proof of your address;If you miss one or more payments, you're in arrears. Your credit provider can charge you arrear interest and being in arrears is also bad for your credit score.;3
settling credit agreements;Retention;T/F;Being in {{arrears}} on a credit agreement means you're ahead on your payments.;FALSE;TRUE;;;Being in arrears on a credit agreement means you've missed one or more payments. Your credit provider can charge you arrear interest and being in arrears is also bad for your credit score.;10
settling credit agreements;Application;T/F;If you pay your instalment one day late, you're in {{arrears}}.;TRUE;FALSE;;;Paying even one day late counts as a late payment, which means you're in arrears. Your credit provider can charge you arrear interest and being in arrears is also bad for your credit score.;17
settling credit agreements;Seed;T/F;If you're in {{arrears}}, your credit provider can charge you arrear interest and other costs.;TRUE;FALSE;;; If you're in arrears your credit provider can charge you arrear interest and other costs such as default administration charges. Being in arrears is also bad for your credit score.;4
settling credit agreements;Retention;T/F;Your credit provider isn't allowed to charge you arrear interest for being in {{arrears}}.;FALSE;TRUE;;; If you're in arrears your credit provider can charge you arrear interest and other costs such as default administration charges. Being in arrears is also bad for your credit score.;11
settling credit agreements;Retention;T/F;Your credit provider isn't allowed to charge you default administration charges for being in {{arrears}}.;FALSE;TRUE;;; If you're in arrears your credit provider can charge you arrear interest and other costs such as default administration charges. Being in arrears is also bad for your credit score.;13
settling credit agreements;Application;MC-AOTA;What happens if you're in {{arrears}}?;All of the above;You pay interest on the arrear amount;It has a negative effect on your credit score;You may be charged other extra costs; If you're in arrears your credit provider can charge you arrear interest and other costs such as default administration charges. Being in arrears is also bad for your credit score.;18
settling credit agreements;Seed;MC;What is {{arrear interest}} on a credit agreement?;Interest charged on the arrear amount;Interest you earn for paying extra;Interest you paid in error;Interest you only need to pay later;Arrear interest is interest that is charged on the arrear amount. Being in arrears is also bad for your credit score. ;5
settling credit agreements;Retention;T/F;{{Arrear interest}} is awarded for paying more than the minimum amount.;FALSE;TRUE;;;Arrear interest is interest that is charged on the arrear amount. Being in arrears is also bad for your credit score. ;12
settling credit agreements;Retention;MC;Interest charged on a missed payment is called ___________;Arrear interest;Bonus interest;Unpaid interest;Delayed interest;Arrear interest is interest that is charged on the arrear amount. Being in arrears is also bad for your credit score. ;12
settling credit agreements;Retention;T/F;If you pay too much interest by mistake, this is called {{arrear interest}}.;FALSE;TRUE;;;Arrear interest is interest that is charged on the arrear amount. Being in arrears is also bad for your credit score. ;12
settling credit agreements;Application;MC;If there is {{arrear interest}} on your credit agreement statement, what does this mean?; Interest due because of missed payments;It is the same as other interest;You can pay it off later;It's subtracted from what you owe;Arrear interest is interest that is charged on the arrear amount. Being in arrears is also bad for your credit score. ;18
settling credit agreements;Seed;T/F;A {{payment arrangement}} is when you can't afford your payments and your credit provider agrees on a new payment plan.;TRUE;FALSE;;;If you are unable to make your payments, you should contact your credit provider and try to set up a new payment plan that you can manage.;4
settling credit agreements;Retention;MC;If you can't afford your payments, you can ask your credit provider for a __________;Reasonable payment arrangement;Tax break;Account cancellation;Payment holiday;If you are unable to make your payments, you should contact your credit provider and try to set up a new payment plan that you can manage.;11
settling credit agreements;Application;T/F;A {{payment arrangement}} means your credit provider will let you skip payments whenever you need to.;FALSE;TRUE;;;A payment arrangement is a new payment plan that you can manage, but it requires you to keep paying the amount agreed on.;18
Settling credit agreements;Seed;T/F;If you have a credit agreement for a car, appliance etc, you need to pay in full before the agreement can end.;TRUE;FALSE;;;If you borrow money or buy on credit you are legally bound to pay it back with required interest and fees, before you can close your account.;3
Settling credit agreements;Retention;MC;What must you do if you want your credit agreement for a car, appliance, loan etc to come to an end?;Settle it by paying off what you owe;Cancel it at any time you need to;Get your debt written off;Apply to the National Credit Regulator;If you borrow money or buy on credit you are legally bound to pay it back with required interest and fees, before you can close your account.;10
Settling credit agreements;Application;Y/N;Can you settle a credit agreement for a car, appliance, loan etc. without paying what you owe on it?;No;Yes;;;If you borrow money or buy on credit you are legally bound to pay it back with required interest and fees, before you can close your account.;17
Settling credit agreements;Application;Y/N;Can you settle your credit agreement for a car, appliance, loan etc. without paying it off?;No;Yes;;;If you borrow money or buy on credit you are legally bound to pay it back with required interest and fees, before you can close your account.;17
Settling credit agreements;Seed;MC;What does it mean to {{settle}} your credit agreement?;To pay off everything you owe ;To sign your credit agreement;To cancel your credit agreement;To start debt review;Settling your credit agreement means to pay in full what you still owe. You may need to pay a penalty if you settle before the end of your repayment term.;4
Settling credit agreements;Retention;T/F;{{Settling}} your credit agreement means agreeing to your contract and signing it.;FALSE;TRUE;;;Settling your credit agreement means to pay in full what you still owe. You may need to pay a penalty if you settle before the end of your repayment term.;11
Settling credit agreements;Retention;MC;If you pay off everything you owe on your credit agreement, you _________;Settle it;Finish it;Cancel it;Sign it;Settling your credit agreement means to pay in full what you still owe. You may need to pay a penalty if you settle before the end of your repayment term.;11
Settling credit agreements;Application;MC;If you {{settle}} your credit agreement, it means that you __________;Pay off everything you owe on it;Pay half of what you owe on it;Pay off your arrear interest;Forget about it;Settling your credit agreement means to pay in full what you still owe. You may need to pay a penalty if you settle before the end of your repayment term.;18
Settling credit agreements;Seed;Y/N;Can you {{settle}} (pay off) your credit agreement before the end of your {{repayment term}}?;Yes;No;;;You are allowed to settle your credit agreement early but you may need to pay a penalty, depending on the terms and conditions of your agreement.;5
Settling credit agreements;Retention;T/F;You can {{settle}} your credit agreement early but you may need to pay a penalty.;TRUE;FALSE;;;You are allowed to settle your credit agreement early but you may need to pay a penalty, depending on the terms and conditions of your agreement.;12
Settling credit agreements;Application;T/F;You aren't allowed to {{settle}} (pay off) your credit agreement before the end of your {{repayment term}}.;FALSE;TRUE;;;You are allowed to settle your credit agreement early but you may need to pay a penalty, depending on the terms and conditions of your agreement.;18
Settling credit agreements;Seed;Y/N;Can you stop your credit agreement if you can't afford the payments anymore?;No;Yes;;;If you borrow money or buy on credit you are legally bound to pay back what you owe. If you can't manage your payments you should contact your credit provider about a payment arrangement.;5
