Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Contract basics;Retention;Y/N;Kungakwazi ukuthi ama {contract} zibengamazwi kanti zibhalwe futhi?;Yebo;Cha;;;Ama {contract} zingabhalwa kanti zingabangamazwi futhi. Isibonelo, ungathola i{quote} ebhaliwe yesevisi ethize bese uyavuma ngamazwi ukuthi umsebenzi awenziwe;10
Contract basics;Retention;MC;Kungani i{contract} ebhaliwe iphephile kunaleyo yamazwi?;Kunobufakazi obubhalwe phansi besivumelwano;Ama {contract} zingabhalwa kuphela;Angeke ama {contract} zibe ngamazwi;Akukho emthethweni ukuba ne {contract} yamazwi;Kuphephile ukuba ne {contract} ebhaliwe ngoba konke okuvunyelwane ngakho kubhalwe phansi. Uma kunokuphikisana noma umbuzo kamuva, kunobufakazi besivumelwano;9
Contract basics;Application;MC;Kwezilandelayo, yini ezokuvikela kakhulu uma uvumela okuthize?;i{Contract} ebhalwe ngokucacile;i{Contract} yamazwi;i{Contract} ekhulunyiwe;Ukubamba ngesandla;i{Contract} ebhalwe ngokucacile iyokuvikela uma uvumela okuthize. Cela i{contract} ebhaliwe njalo kuzivumelwano ezibalulekile njenge {credit}, ukuqasha, nomshwalense;16
Contract basics;Seed;MC-AOTA;Ngaphambili koku{sign}a i{contract}, kufanele:;Zonke ezibaliwe;Qiniseka ukuthi uyayizwisisa kahle;Qiniseka ukuthi uvumelana nazo zonke;Qiniseka ukuthi uyamelana nezindleko nezimali ;Ngaphambili koku{sign}a nokuvumela i{contract}, qiniseka ukuthi uyayizwisisa kanti uvumelana nemigomo, nokuthi uyakwazi ukumelana nezindleko, izimali noma ubungozi obukhona;5
Contract basics;Retention;MC;Kufanele wenzeni uma ungazwisisi okuthize kuy i{contract}?;Cela ukuthi uchazelwe;Sayina nje i{contract};Unganaki ongakuzwisisi;Sayina i{contract} ngokushesha;Uma ungazwisisi okuthize kuy i{contract}, Kukuwe ukuqinisekisa ukuthola ukuthi kusho ukuthini ngaphambili koku{sign}a. Uma ungakazwisisi, ungasayini;9
Contract basics;Retention;MC;Ngemuva koku{sign}a i{contract}, kufanele ucele:;Ikhophi ye {contract};Isikweletu;Ukwehliselwa;Ukuphula i{contract} yakho;Uma sewu{sign}a i{contract}, cela ikhophi ye {contract} ozohamba nayo. Lokhu kungasetshenziswa ukuphendula imibuzo ongaba nayo kusasa;10
Contract basics;Retention;MC;Uma u{sign}a i{contract}, kufanele:;Cisha noma gcwalisa izindawo ezivulekile;Ungafundi i{contract};Unganaki izindawo ezivulekile;Unganaki izingxenye ze {contract};Uma u{sign}a i{contract}, kufanele ugcwalise amagama nama {dates}, cisha izindawo ezivulekile, bese ubeka ama {initials} eceleni. Lokhu kuvikela ukuthi i{contract} ingashitshwa uma sewuyisayinile;11
Contract basics;Retention;MC;Uma wenze ushintsho kukontilaka, kufanele wenzeni?;Beka ama-initials wakho eceleni koshintsho;Ungabhali lapho ushintshe khona;Ungagcwalisi amagama kuzindawo ezivulekile;Ungafundi i{contract} yonke;Uma wenza ushintsho kukontilaka, qiniseka njalo ukubeka ama-initials lapho ushintshe khona. Lokhu kuyasiza ukufakazela ukuthi wenze nokuvumela ushintsho ngokwakho;11
Contract basics;Application;MC;Ingabe kufanele wenzeni ngaphambili koku{sign}a i{contract}?;Ifunde ngokuqaphela;Ifunde ngokushesha;Ifunde bese ungayicabangi;Ifunde bese ungayinaki;Njalo funda i{contract} ngaphambili koku{sign}a. Uma ungazwisisi okuthize, cela ukuchazelwa ngaphambili koku{sign}a;15
NCA basics;Seed;MC-AOTA;Kwezilandelayo, yini ewumbolekisi wezimali?;Zonke ezibaliwe;i{Bank};Izitolo ezithize njenge zezimphahla;Ababolekisi abancane;Ama {bank}, izitolo ezithize njenge zezimphahla kanye nababolekisi abancane bayizibonelo zababolekisi bezimali. Akubona ababolekisi bonke bezimali abanikeza izikweletu ezifanayo nokuba emthethweni;5
NCA basics;Retention;Y/N;Ingaba noma iyiphi inkampani engabhaliswa ukuba umbolekisi wezimali?;Cha;Yebo;;;Akunoma iyiphi inkampani engabhaliswa ukuba umbolekisi wezimali. Ababolekisi bezimali badinga ukuaplaya ukuze babe ababolekisi bezimali ababhalisiwe ne {National Credit Regulator} ({NCR});9
NCA basics;Retention;MC;i{Regulatory body} eqinisekisa ukuhambisana ne{National Credit Act} ibizwa_____;i{National Credit Regulator};Ababolekisi bezimali abakhulu;i{Credit bureau};i{SARS};i{National Credit Regulator} ({NCR}) inhlangano elawula ababolekisi bezimali, ama {credit bureaus} nezinye izingxenye ze {credit market}, ngokuhambisana ne {National Credit Act};9
NCA basics;Application;MC;Kungani kubalulekile ukuba khona kwe {National Credit Regulator}?;Iqinisekisa ukuhambisa ne {NCA};Isiza abantu ukuphula umthetho;Iyenza i{banking} isheshe kakhulu;Isiza abantu ukubhadala i{tax};i{National Credit Regulator} ({NCR}) ibalulekile ngoba iqinisekisa ukuthi bonke ababolekisi bezimali nabathengi balalela imithetho mayelana ne {credit} South Africa;15
NCA basics;Seed;MC;Iyini i{affordability assessment}?;Ukubheka izimali zomuntu nomlando we {credit};Ukuhlola okubhaliwe ;Ukuhlola okuthatha i{hour};Ukubheka ukuthi umuntu unama {fine} amangaki;i{Affordability assessment} ilapho umbolekisi wezimali ebheka izimali zomuntu nomlando we {credit} ukubona ukuthi bangakwazi ukukhokha isikweletu;5
NCA basics;Retention;MC;Kungani i{affordability assessment} yenziwa?;Ukuqinisekisa umuntu ukwazi ukukhokha isikweletu ;Ukwenza kubenzima ukusebenza kwama {banks};Ukwenza i{credit} idide abantu;Ukudla abantu imali;i{Affordability assessment} idinga ukwenziwa ukuqiniseka ukuthi umuntu angakwazi ukukhokha isikweletu. Kufanele ababolekisi benze lezinhlolo ngaphambili kokunikeza isikweletu;9
NCA basics;Retention;MC;Ubani owenza ama {affordability assessments}?;Ababolekisi bezimali;Abathengi;i{NCR};i{Home Affairs};Kufanele ababolekisi bezimali benze ama {affordability assessment} uma abathengi ba aplayela i{credit}. Kudinga abathengi babe neqiniso uma benikezela ngolwazi lwabo lezimali kubabolekisi bezimali;9
NCA basics;Application;MC;Uma uaplayela isikweletu, kufanele umbolekisi wakho wezimali enzeni?;i{Affordability assessment};i{Criminal clearance check};i{Medical test };i{Language test};Ngaphambili kokunikeza isikweletu, umbolekisi kufanele aqiniseke ukuthi ungakwazi ukubhadala ngokwenza i{affordability assessment}. Uma ingenziwanga, unganikezwa isikweletu ongakwazi ukusibhadala;15
NCA basics;Seed;T/F;Ababolekisi bemali badinga ukuqinisekisa ukuthi abathengi bayakwazi ukubhadala isikweletu ngaphambili kokubavumela;Iqiniso;Amanga;;;Ababolekisi bemali badinga ukuqinisekisa ukuthi abathengi bayakwazi ukubhadala i{credit} abayi aplayele ngaphambili kokubavumela. Bangenza lokhu ngokwenza i{affordability assessment};5
NCA basics;Retention;MC;Benza kanjani ababolekisi bemali ukuqinisekisa ukuthi abathengi bakwazi ukubhadala i{credit}?;Ngokwenza i{affordability assessment};Ngokuqagela;Ngokubuza umthengi nje;Ngokubheka imali yabo ku {wallet} kuphela ;Ababolekisi bemali bangakwazi ukubheka ukuthi umthengi uyakwazi ukubhadala i{credit} ayi aplayele ngokwenza i{affordability assessment}. Lokhu, ilapho umbolekisi abheka izimali zomthengi;9
NCA basics;Retention;MC;Siyini isivumelwano se {credit} uma umbolekisi wemali angenzi i{affordability assessment}?;Isivumelwano se{credit} esinganaki ;Isivumelwano se {credit} esilungile;Isivumelwano se {credit} esingalunganga ;Isivumelwano se {credit} esonakele;Uma umbolekisi wezimali angenzi i{affordability assessment} bese anikeza i{credit} kumuntu, leso sivumelwano se {credit} sibizwa ngesivumelwano esinganaki;10
NCA basics;Retention;MC;Isivumelwano se {credit} esinganaki singenza ukuthi umbolekisi wezimali anike i{credit} ku: ;Umthengi abazi ukuthi angeke amelane naso;Umuntu bakholelwa ukuthi angamelana naso ;Umuntu ongazange aaplayele i{credit};Umuntu oyisigebengu;Isivumelwano se {credit} singaba sokunganaki, uma umbolekisi wezimali enze i{affordability assessment} bese ayazi ukuthi umuntu angeke amelane ne {credit}, kodwa amunikeze;10
NCA basics;Retention;T/F;Uma umthengi angazwisisi isivumelwano se {credit}, singabizwa ukuthi isivumelwano se {credit} esinganaki.;Iqiniso;Amanga;;;Uma umthengi angazwisisi amalungelo wakhe nalokho afanele akwenze, kanye nezimali nezindleko zesivumelwano se {credit}, singabizwa ukuthi isivumelwano se {credit} esinganaki;10
NCA basics;Retention;MC;Ingabe singaba ingozi kanjani isivumelwano se {credit} esinganaki kumthengi?;Zingaholela kuzikweletu eziphezulu;Zingabasiza ukonga imali;Zingasiza ukuvikela amalungelo wabo;Bangaba nezikweletu eziphansi;Izivumelwano ze {credit} ezinganaki ziyingozi kubathengi ngoba zingaholela kuzikweletu eziphezulu, njengoba abathengi banikezwa izikweletu abangakwazi ukumelana nazo;12
NCA basics;Application;MC;Yini engasiza ukuvikela izivumelwano ze {credit} ezinganaki?;i{Affordability assessments};i{Language tests};i{Medical exams};i{Qualifications check};i{Affordability assessment} isiza ukuvikela izivumelwano ezinganaki ngokuqinisekisa ukuthi umthengi umelana ne {credit} ayi aplayele. Ababolekisi kufanele benze lokhu ngaphambili unikeza i{credit};15
NCA basics;Seed;MC;Ngabe i{National Credit Act} isebenza ngani?;Imithetho nge {credit} yomthengi;Imithetho ngokuwonga;Imithetho ngama {investments};Imithetho nge {tax};Izivumelwano ze {credit} ezinganaki ziyingozi kubathengi ngoba zingaholela zikweletu eziphezulu, njengokuthi abathengi banganikezwa izikweletu abangakwazi ukumelana nazo;5
NCA basics;Retention;MC;i{NCA} iyimithetho esebenza nge:;Nge {Credit};Ngokuwonga;Ngama {Investments};Nge {tax market};i{NCA} iyimithetho esebenza nge {credit} eSouth africa. Lemithetho ithinta kakhulu abathengi nababolekisi bezimali;8
NCA basics;Retention;MC;Abobani abathintwa kakhulu i{NCA}?;Abathengi nababolekisi bezimali;Ama {tax consultants};Ama {investment bankers};Ama {tax} nama {debt collectors};i{NCA} ithinta kakhulu abathengi nababolekisi bezimali (Ama {banks}, ababolekisi abancane, izitolo ezithize njenge zezimpanhla noma izitolo ze {furniture}, {etc}.);9
NCA basics;Retention;MC;Njengomthengi, kubalulekile ukwazi nge {NCA} ngoba:;Ikusiza ukuzwisisa amalungelo wakho;Ingenza i{banking} yakho isheshise;Ingasiza ukwenza amanye ama {investments};Iyokusiza nge {tax} yakho;Kubalulekile ukwazi nge {NCA} ngoba imithetho yayo yenzelwe ukuvikela abathengi nababolekisi bezimali ukuzwisisa amalungelo abo nalokho abafanele ukwenza;12
NCA basics;Application;MC;Uma ufuna ukuaplayela i{credit}, imiphi imithetho engakusiza ukuzwisisa amalungelo wakho?;i{NCA};i{NCB};i{NCT};i{NCC};Imithetho ye {NCA} iyokuvikela nokukuqondisa uma usebenzisa umbolekisi wezimali. i{NCA} isiza abathengi ukwazi amalungelo abo uma be-aplayela nokusebenzisa i{credit};15
NCA basics;Seed;MC;i{NCA} ivikela kanjani abathengi?;Ikhuthaza ukubolekisa okufanele ;Ivimba ababolekisi bezimali ukusebenza ;Ivumela abathengi bangabhadali;Ivumela ababolekisi bezimali ukungathembeki;i{NCA} ivikela abathengi ngokubanikeza amalungelo avikelekile. Ababolekisi bezimali badinga ukuvuma nokuhlonipha lamalungelo uma banikeza i{credit};5
NCA basics;Retention;MC-AOTA;Imaphi amanye amalungelo avikelekile ku {NCA}?;Zonke ezibaliwe;Ilungelo loku aplayela i{credit};Ilungelo lokuvikelwa kubandlululo;Ilungelo lesivumelwano se {credit} ngolimi olulula;Abathengi banelungelo loku aplayela i{credit}, ukuvikelwa kubandlululo uma be aplayela i{credit}, nokuba nesivumelwano sesikweletu ngolimi olulula;9
NCA basics;Application;T/F;Kubalulekile ukwazi amalungelo wakho ku {National Credit Act} nalokho ofanele ukwenza. ;Iqiniso;Amanga;;;Njengo mthengi unamalungelo athize akuvikela ukungaphatheki kabi. Kodwa nawe unokufanele ukwenze. Kubalulekile ukwazi lokhu konke;12
NCA basics;Seed;MC;Ngokusho kwe {NCA} unelungelo loku: ;Aplayela i{credit};Aplayela amasheya;Aplayela i{tax};Aplayela ukonga;Ngokusho kwe {NCA}, abathengi bonke banelungelo loku aplayela i{credit}, ukunganaki iminyaka, umbala, inkolo noma isimo somnotho. i{NCA} ayinikezi bonke abathengi ilungelo lokunikezwa i{credit};5
NCA basics;Retention;T/F;Uma ufuna ukuaplayela i{credit}, unelungelo lokwenza njalo.;Iqiniso;Amanga;;;Uma ufuna ukuaplayela i{credit} kumbolekisi wezimali, kuyilungelo lakho. Angeke unikezwe i{credit} uma i{affordability assessment} ibonisa ukuthi angeke umelane nayo;8
NCA basics;Retention;MC-AOTA;Ababolekisi bezimali abavumelekile uku:;Zonke ezibaliwe;Ukunikeza i{credit} kubangani kuphela;Ukunikeza i{credit} kubantu bendawo ethize kuphela;Ukubandlulula ngokungafanele ;Ababolekisi bezimali abavunyelwe ukubandlulula ngokungafanele uma benikeza i{credit}. Abavunyelwe ukunikeza i{credit} kubantu bebala, inkolo noma indawo ethize kuphela;9
NCA basics;Application;MC-AOTA;Ngokwamalungelo wakho avikelekile ku {NCA}, unelungelo loku:;Zonke ezibaliwe;Aplayela isikweletu;Aplayela i{credit card};Aplayela i{vehicle financing};Unelungelo loku-aplayela noma uluphi uhlobo lwe {credit}, lokufaka nesikweletu, ama {credit cards}, i{vehicle financing} nesikweletu sendlu;15
NCA basics;Application;MC;Umbolekisi wakho wezimali akavumelekile ukukwalela i{credit} ngokubheka: ;Ibala lakho;Umlando wakho wezimali;Inani lesikweletu sakho;Ukukhokha kwesikweletu sakho manje;Umbolekisi wakho wezimali akavunyelwe ukwala ukukunikeza i{credit} ngenxa yombala wakho. Unelungelo lokuvikelwa kubandlululo uma uaplayela isikweletu;16
NCA basics;Seed;MC;Uma unganikezwanga i{credit}, unelungelo loku:;Lokutshelwa isizathu sokuthi kungani;Lutho;Ntshontshela umbolekisi wezimali;Ungabuzi nokutshelwa isizathu;Uma isicelo sakho se {credit} singavunyelwe, ungabuza umbolekisi wakho wezimali ukuthi kungani.Ngokusho kwe {NCA}, unelungelo lokutshelwa isizathu;5
NCA basics;Retention;Y/N;Uma unganikezwanga isikweletu, ungabuza i{bank} lakho isizathu bese ulindela ukutshelwa.;Yebo;Cha;;;Uma i{bank} lakho lingakunikezanga iskweletu, unelungelo lokunikezwa isizathu sokuthi kungani isicelo sakho singaphumelelanga, uma ubuza lakho;8
NCA basics;Application;MC;Uma unganikezwanga i{credit card} i{bank} lakho, ungakwazi:;Ukubuza i-bank lakho isizathu sokuthi kungani;Ungafayinwa i{bank} lakho;Buza i{bank} lakho isizathu bese ungaphendulwa;Buza i{bank} lakho isizathu bese unganakwa;Uma unganikezwanga i{credit card} i{bank} lakho, ungabuza i{bank} lakho isizathu sokuthi kungani bakhethe ukungakunikezi i{credit} kanti ulindele impendulo;15
NCA basics;Seed;MC;Liyini elinye lamalungelo wakho avikelekile ku {NCA}?;Ukuba nesivumelwano se {credit} ngolimi olulula;Ukungabi nesivumelwano se {credit};Ukuba nesivumelwano se {credit} esihlangahlangane;Ukuba nesivumelwano se {credit} esididayo;Elinye lamalungelo avikelekile ku {NCA}, ukuba nesivumelwano se {credit} ngolimi olulula. Lapho kusho ukuthi ungazwisisa isivumelwano kalula;6
NCA basics;Retention;MC;Uma isivumelwano se-credit sibhalwe ngolimi olulula sifanele:;Silula ukusizwisisa;Sinzima ukusizwisisa;Sidida kakhulu;Sinzima ukusifunda;Uma isivumelwano se {credit} sibhalwe ngolimi olulula, sifanele sibelula ukusizwisisa kanti sibenzisa ulimi olulula. Ulimi olulula aluhlangahlangene noma ligcwele amagama anzima;9
NCA basics;Retention;MC;Kungani kubalulekile ukuthi isivumelwano se {credit} sibe ulimi olulula?;Sikusiza ukwazi ukuthi yini oyivumayo;Senza kubenzima kuwe ukuzwisisa;Siyakudida;Senza i{credit market} ingabonakali kahle;Kubalulekile ukuthi isivumelwano se {credit} sibe ngolimi olulula ngoba kusho ukuthi ungakwazi ukuzwisisa lokho okuvumayo uma usi{sign}a;11
NCA basics;Application;MC;Ngaphambili koku{sign}a isivumelwano se {credit}, kufanele njalo uqiniseke ukuthi:;Usizwisisa sonke kahle;Uzwisisa okunye kwaso;Uzwisisa okuningi kwaso;Awusizwisisi;Uma u{sign}a isivumelwano se {credit}, uqinisekisa ukuthi uyasizwisisa sonke kahle. Ulimi lwesivumelwano kufanele lube lula ukuzwisisa;15
NCA basics;Seed;T/F;Elinye lamalungelo wakho avikelekile ku {NCA}, ilungelo lokuthola ikhophi yamahala yesivumelwano se {credit}.;Iqiniso;Amanga;;;Elinye lamalungelo wakho ku {NCA} ukuthola ikhophi yamahala yesivumelwano se {credit} kumbolekisi wezimali uma sewusayinile;5
NCA basics;Retention;MC;Uma u{sign}a isivumelwano se {credit} nombolekisi wezimali unelungelo loku: ;ikhophi yamahala yesivumelwano se {credit};Ukungatholi ikhophi yamahala yesivumelwano;Thola ikhophi e{half} yesivumelwano se {credit};Bhadala ikhophi yakho yesivumelwano se {credit};Uma u{sign}a isivumelwano se {credit} nombolekisi wezimali, unelungelo lokuthola ikhophi yamahala yesivumelwano;8
NCA basics;Retention;MC-AOTA;Kungani kubalulekile ukuthola ikhophi yamahala yesivumelwano sakho se {credit}?;Zonke ezibaliwe;Ungayibheka uma unemibuzo ngemali;Ungayisebenzisa ukubona ukubhadalwa kwesikweletu;Ungaqiniseka ukuthi uyazi izimfuneko zokubhadala;Ungasebenzisa ikhophi yamahala yesivumelwano se {credit} ukuphendula imibuzo ngemali oyikhokhayo, ukubona lapho isikweletu sakho siyobhadalwa nokuqinisekisa ukuthi uyazi izimfuneko zesikweletu;13
NCA basics;Application;MC;Kufanele wenzeni ngekhophi yakho yesivumelwano se {credit}?;Igcine kundawo ephephile;Ibhadale;Imoshe;Inike kumuntu ongamazi;Uma u{sign}a isivumelwano se {credit} qinisekisa ukuthi uthola ikhophi yaso, akufanele umbolekisi wezimali akubhadalise ikhophi. Uma isivumelwano s i{digital} qiniseka ukuthi uyakwazi ukusithola;15
NCA basics;Seed;MC;Uma uaplayela i{credit}, elinye lamalungelo wakho avikelekile u:;Ukuthi ulwazi lwakho lwezimali lube imfihlo ;Ukuthola ubandlululo;Ukunganikezwa isivumelwano se {credit};Ukubhadala ikhophi yesivumelwano se {credit};Uma uaplayela i{credit}, i{NCA} ithi elinye lamalungelo wakho avikelekile iwukuba ulwazi lwako ngokwezimali lihlale liyimfihlo;5
NCA basics;Retention;T/F; Ngokusho kwe {NCA}, umbolekisi wezimali kufanele enze i{affordability assessment} ngaphambili kokunikeza isikweletu.;Iqiniso;Amanga;;;i{National Credit Regulator}, ngokwaziswa imithetho ye {National credit Act} ifuna ababolekisi bezimali ababhalisiwe benze ama {affordability assessments} kulabo abafaka izicelo;8
NCA basics;Retention;MC;Kufane wenzeni njengomthengi uma uaplayela i{credit}?;Iba neqiniso ngolwazi lwakho lwezimali;Qamba amanga ngezibopho zakho zezimali;Qamba amanga ngesikweletu;Ungabi neqiniso ngomholo wakho;Uma uaplayela i{credit}, njengomthengi kufanele utshele umbolekisi wezimali ngazo zonke izibopho zakho zemali;9
NCA basics;Retention;MC;Yini engafanele ukuthi umbolekisi wezimali ayenze uma enza i{affordability assessment}?;Atshele wonke umuntu ngezimali zakho ;Abheke isikweletu sakho;Abheke ama {payslips} wakho;Abheke umholo wakho;Umbolekisi wezimali akavunyelwe ukutshela abantu ngezimali zakho. Abavunyelwe ukwabelana ngolwazi lwakho lwezimali, ngaphandle kwezizathu ezithize;11
NCA basics;Application;MC-AOTA;Unikeza isitolo sezimpahla i{payslip} yakho uma uvula i{account}. Isitolo asikwazi:;Zonke ezibaliwe;Abelana ngolwazi nomphakathi;Abelana ngolwazi nabantu abangaziwa;Abelana ngolwazi nabathengi;Unelungelo elivikelekile ukuthi ulwazi lwakho luphathwe ngokwemfihlo. Ababolekisi bezimali abakwazi ukwabelana nabanye, ngaphandle kwezizathu ezithize;16
NCA basics;Seed;MC;Ngaphambili koku{sign}a isivumelwano se {credit}, kukuwe ukuqinisekisa ukuthi____________;Uzwisisa yonke imininingwane;Iba nenkulumo ekhululekile;Uswenkile {strong};Bandlulula umbolekiksi wezimali;Kanye namalungelo wakho, unezibopho uma kuza kuzivumelwano ze {credit}. Ezinye zazo ukuqinisekisa ukuthi uzwisisa yonke imininingwane ngaphambili koku{sign}a;5
NCA basics;Retention;Y/N;Ngabe Kufanele ubhekisise ukuthi uzwisisa yonke imininingwane ngaphambili koku{sign}a isivumelwano se {credit}?;Yebo;Cha;;;Ngaphambili koku{sign}a isivumelwano se {credit}, qinisekisa ukuthi uzwisisa konke okulindelwe kuwe nombolekisi wezimali, ukufaka amalungelo wakho nokufanele ukwenze;9
NCA basics;Retention;MC;Uma ungazwisisi okuthize kusivumelwano se {credit}, kufanele:;Buza ngayo ngaphambili koku{sign}a;Qagela ukuthi kusho ukuthini;Ungakunaki;Buza ngayo uma sewusayinile;Uma ungazwisisi okuthize kusivumelwano se {credit}, kufanele ucele incazelo. Ungasayini isivumelwano se {credit} uma kunokuthize ongakuzwisisi;10
NCA basics;Application;MC;Uku{sign}a into ongayizwisisi kuyingozi ngoba:;Kungaba nezindleko ongazihlelanga;Ungawonga imali;Ungenza ama {investments} amahle;Ungaya ejele;Ukungazwisisi isivumelwano sakho se {credit} kuyingozi ngoba kungenza uzibophe ngezindleko ongazihlelanga. Uma uzwisisa konke, akuna zimanga;16
NCA basics;Seed;MC;Iyini i{credit limit}?;Ubuningi benani le {credit} ongayisebenzisa;Ubuncane benani le {credit} umuntu angayisebenzisa;Uhlobo lwesikweletu somuntu;i{Savings account};i{Credit limit} iwubuningi benani le {credit} elinikezwa ngumbolekisi wezimali kumthengi. Ngokujwayelekile i{credit limit} yakho ihambisana nomlando wakho we {affordability} ne {credit};4
NCA basics;Retention;MC;Uma une {credit} , i{credit} yokulinganisa iwu_____;Ubuningi bemali okwazi ukuyisebenzisa ku {card};Ungasebenzisa ubunigi bemali oyifuna;Akufanele ubhadale izikweletu zakho;Angeke usebenzise i{credit} ethize;Uma i{credit card} yakho ine {credit} yokulinganisa, kusho ukuthi ungasebenzisa inani lemali ekulo kuphela, {i}.{e} i{credit limit} yakho iwu {R5000}, ungasebenzisa {R5000} kuphela;8
NCA basics;Retention;T/F;EIinye lamalungelo wakho avikelekile, IiwukwaIa uma umbolekisi wezimali efuna ukwandisa i{credit} yakho yokulinganisa.;Iqiniso;Amanga;;;i{NCA} ithi ungakwala ukuthi i{credit} yokulinganisa yakho iyandiswe umbolekisi wezimali, uma ungakhululekanga ngayo;9
NCA basics;Application;MC-AOTA;Kungani kubalulekile ukwazi ukwala ukwandiswa kwesilinganiso se {credit}?;Zonke ezibaliwe;Ingasiza ukuvikela izikweletu eziphezulu;Ikugcina ukuthi ulawule izimali zakho;Ikusiza ukugcina isikweletu siphatheke kahle ;Kubalulekile ukwazi ukwala ukwandiswa kwesilinganiso se {credit} ngoba kusho ukuthi usebenzisa i{credit} okhululekile ngayo kuphela kanti okwazi ukuyi bhadala;16
NCA basics;Seed;T/F;Ukuba ezikweletini eziphezulu ilapho ungakwazi ukuhlangabezana nezibopho zakho zemali.;Iqiniso;Amanga;;;Izikweletu eziphezulu isimo sezimali lapho umuntu engakwazi ukumelana nokubhadala izikweletu zakhe njalo. Lokho kungaholela umuntu kakhulu esikweletini uma isikhathi sihamba;4
NCA basics;Retention;MC;Yini engabangela izikweletu eziphezulu?;Zonke ezibaliwe;Ukusho okuphezulu komholo wakho;Ukusebenzisa imali ngokunganaki;Ukuqamba amanga ngezindleko zakho;Ziningi izimbangela zezikweletu eziphezulu, njengoku qamba amanga ngomholo wakho nokuthi zingakanani izindleko zakho uma ugcwalisa ifomu yesicelo;9
NCA basics;Application;MC;Ufuna ukuthatha isikweletu. Kufanele umbolekisi wezimali enze:;i{Affordability assessment};i{Language test};i{Police clearance test};i{Internal audit};Uma uzothatha isikweletu, kufanele umbolekisi wakho wezimali enze i{affordability assessment} ukuqinisekisa ukuthi ungakwazi ukumelana naso;15
